species,filename,relative_path,full_path,quality_rating,file_extension
Brachypteryx montana,XC1101514 - White-browed Shortwing - Brachypteryx montana brunneiceps.wav,Brachypteryx montana/A/XC1101514 - White-browed Shortwing - Brachypteryx montana brunneiceps.wav,data/raw/Brachypteryx montana/A/XC1101514 - White-browed Shortwing - Brachypteryx montana brunneiceps.wav,A,.wav
Brachypteryx montana,XC168744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC168744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC168744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC173772 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC173772 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC173772 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC175387 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC175387 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC175387 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC389832 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC389832 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC389832 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC421524 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,Brachypteryx montana/A/XC421524 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,data/raw/Brachypteryx montana/A/XC421524 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,A,.mp3
Brachypteryx montana,XC421933 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/A/XC421933 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/A/XC421933 - White-browed Shortwing - Brachypteryx montana unknown.mp3,A,.mp3
Brachypteryx montana,XC421934 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/A/XC421934 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/A/XC421934 - White-browed Shortwing - Brachypteryx montana unknown.mp3,A,.mp3
Brachypteryx montana,XC421936 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/A/XC421936 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/A/XC421936 - White-browed Shortwing - Brachypteryx montana unknown.mp3,A,.mp3
Brachypteryx montana,XC590115 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC590115 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC590115 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC590117 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC590117 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC590117 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC590119 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC590119 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC590119 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC646772 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/A/XC646772 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/A/XC646772 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,A,.mp3
Brachypteryx montana,XC646894 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC646894 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC646894 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC67735 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/A/XC67735 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/A/XC67735 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,A,.mp3
Brachypteryx montana,XC67736 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/A/XC67736 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/A/XC67736 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,A,.mp3
Brachypteryx montana,XC67741 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/A/XC67741 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/A/XC67741 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,A,.mp3
Brachypteryx montana,XC67745 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/A/XC67745 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/A/XC67745 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,A,.mp3
Brachypteryx montana,XC897126 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/A/XC897126 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/A/XC897126 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,A,.mp3
Brachypteryx montana,XC897182 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/A/XC897182 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/A/XC897182 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,A,.mp3
Brachypteryx montana,XC936616 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,Brachypteryx montana/A/XC936616 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,data/raw/Brachypteryx montana/A/XC936616 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,A,.wav
Brachypteryx montana,XC964099 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,Brachypteryx montana/A/XC964099 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,data/raw/Brachypteryx montana/A/XC964099 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,A,.wav
Brachypteryx montana,XC964100 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,Brachypteryx montana/A/XC964100 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,data/raw/Brachypteryx montana/A/XC964100 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,A,.wav
Brachypteryx montana,XC964144 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,Brachypteryx montana/A/XC964144 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,data/raw/Brachypteryx montana/A/XC964144 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,A,.wav
Brachypteryx montana,XC964280 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,Brachypteryx montana/A/XC964280 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,data/raw/Brachypteryx montana/A/XC964280 - White-browed Shortwing - Brachypteryx montana mindanensis.wav,A,.wav
Brachypteryx montana,XC965134 - White-browed Shortwing - Brachypteryx montana undescribed.wav,Brachypteryx montana/A/XC965134 - White-browed Shortwing - Brachypteryx montana undescribed.wav,data/raw/Brachypteryx montana/A/XC965134 - White-browed Shortwing - Brachypteryx montana undescribed.wav,A,.wav
Brachypteryx montana,XC965137 - White-browed Shortwing - Brachypteryx montana undescribed.wav,Brachypteryx montana/A/XC965137 - White-browed Shortwing - Brachypteryx montana undescribed.wav,data/raw/Brachypteryx montana/A/XC965137 - White-browed Shortwing - Brachypteryx montana undescribed.wav,A,.wav
Brachypteryx montana,XC965138 - White-browed Shortwing - Brachypteryx montana undescribed.wav,Brachypteryx montana/A/XC965138 - White-browed Shortwing - Brachypteryx montana undescribed.wav,data/raw/Brachypteryx montana/A/XC965138 - White-browed Shortwing - Brachypteryx montana undescribed.wav,A,.wav
Brachypteryx montana,XC965139 - White-browed Shortwing - Brachypteryx montana undescribed.wav,Brachypteryx montana/A/XC965139 - White-browed Shortwing - Brachypteryx montana undescribed.wav,data/raw/Brachypteryx montana/A/XC965139 - White-browed Shortwing - Brachypteryx montana undescribed.wav,A,.wav
Brachypteryx montana,XC987920 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/A/XC987920 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/A/XC987920 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,A,.mp3
Brachypteryx montana,XC1082595 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC1082595 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC1082595 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC239258 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC239258 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC239258 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC239260 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC239260 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC239260 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC301987 - White-browed Shortwing - Brachypteryx montana ss mindanensis.mp3,Brachypteryx montana/B/XC301987 - White-browed Shortwing - Brachypteryx montana ss mindanensis.mp3,data/raw/Brachypteryx montana/B/XC301987 - White-browed Shortwing - Brachypteryx montana ss mindanensis.mp3,B,.mp3
Brachypteryx montana,XC321116 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC321116 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC321116 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC421525 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,Brachypteryx montana/B/XC421525 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,data/raw/Brachypteryx montana/B/XC421525 - White-browed Shortwing - Brachypteryx montana ss unknown.mp3,B,.mp3
Brachypteryx montana,XC421935 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/B/XC421935 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/B/XC421935 - White-browed Shortwing - Brachypteryx montana unknown.mp3,B,.mp3
Brachypteryx montana,XC443664 - White-browed Shortwing - Brachypteryx montana unknown.mp3,Brachypteryx montana/B/XC443664 - White-browed Shortwing - Brachypteryx montana unknown.mp3,data/raw/Brachypteryx montana/B/XC443664 - White-browed Shortwing - Brachypteryx montana unknown.mp3,B,.mp3
Brachypteryx montana,XC467513 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/B/XC467513 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/B/XC467513 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,B,.mp3
Brachypteryx montana,XC590108 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC590108 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC590108 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC590110 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC590110 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC590110 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC590112 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC590112 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC590112 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC590114 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC590114 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC590114 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC67733 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/B/XC67733 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/B/XC67733 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,B,.mp3
Brachypteryx montana,XC67734 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/B/XC67734 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/B/XC67734 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,B,.mp3
Brachypteryx montana,XC67738 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/B/XC67738 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/B/XC67738 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,B,.mp3
Brachypteryx montana,XC67739 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/B/XC67739 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/B/XC67739 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,B,.mp3
Brachypteryx montana,XC67740 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/B/XC67740 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/B/XC67740 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,B,.mp3
Brachypteryx montana,XC67744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC67744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC67744 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC691541 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/B/XC691541 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/B/XC691541 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,B,.mp3
Brachypteryx montana,XC776686 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/B/XC776686 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/B/XC776686 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,B,.mp3
Brachypteryx montana,XC79300 - White-browed Shortwing - Brachypteryx montana.mp3,Brachypteryx montana/B/XC79300 - White-browed Shortwing - Brachypteryx montana.mp3,data/raw/Brachypteryx montana/B/XC79300 - White-browed Shortwing - Brachypteryx montana.mp3,B,.mp3
Brachypteryx montana,XC897127 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/B/XC897127 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/B/XC897127 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,B,.mp3
Brachypteryx montana,XC960310 - White-browed Shortwing - Brachypteryx montana.mp3,Brachypteryx montana/B/XC960310 - White-browed Shortwing - Brachypteryx montana.mp3,data/raw/Brachypteryx montana/B/XC960310 - White-browed Shortwing - Brachypteryx montana.mp3,B,.mp3
Brachypteryx montana,XC168747 - White-browed Shortwing - Brachypteryx montana undescribed.mp3,Brachypteryx montana/C/XC168747 - White-browed Shortwing - Brachypteryx montana undescribed.mp3,data/raw/Brachypteryx montana/C/XC168747 - White-browed Shortwing - Brachypteryx montana undescribed.mp3,C,.mp3
Brachypteryx montana,XC30766 - White-browed Shortwing - Brachypteryx montana.mp3,Brachypteryx montana/C/XC30766 - White-browed Shortwing - Brachypteryx montana.mp3,data/raw/Brachypteryx montana/C/XC30766 - White-browed Shortwing - Brachypteryx montana.mp3,C,.mp3
Brachypteryx montana,XC555486 - White-browed Shortwing - Brachypteryx montana undescribed.mp3,Brachypteryx montana/C/XC555486 - White-browed Shortwing - Brachypteryx montana undescribed.mp3,data/raw/Brachypteryx montana/C/XC555486 - White-browed Shortwing - Brachypteryx montana undescribed.mp3,C,.mp3
Brachypteryx montana,XC67737 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,Brachypteryx montana/C/XC67737 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,data/raw/Brachypteryx montana/C/XC67737 - White-browed Shortwing - Brachypteryx montana brunneiceps.mp3,C,.mp3
Brachypteryx montana,XC897183 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,Brachypteryx montana/C/XC897183 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,data/raw/Brachypteryx montana/C/XC897183 - White-browed Shortwing - Brachypteryx montana poliogyna.mp3,C,.mp3
Brachypteryx montana,XC164795 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,Brachypteryx montana/E/XC164795 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,data/raw/Brachypteryx montana/E/XC164795 - White-browed Shortwing - Brachypteryx montana mindanensis.mp3,E,.mp3
Dicrurus balicassius,XC1008948 - Balicassiao - Dicrurus balicassius striatus.mp3,Dicrurus balicassius/A/XC1008948 - Balicassiao - Dicrurus balicassius striatus.mp3,data/raw/Dicrurus balicassius/A/XC1008948 - Balicassiao - Dicrurus balicassius striatus.mp3,A,.mp3
Dicrurus balicassius,XC1055990 - Balicassiao - Dicrurus balicassius mirabilis.mp3,Dicrurus balicassius/A/XC1055990 - Balicassiao - Dicrurus balicassius mirabilis.mp3,data/raw/Dicrurus balicassius/A/XC1055990 - Balicassiao - Dicrurus balicassius mirabilis.mp3,A,.mp3
Dicrurus balicassius,XC190206 - Balicassiao - Dicrurus balicassius.mp3,Dicrurus balicassius/A/XC190206 - Balicassiao - Dicrurus balicassius.mp3,data/raw/Dicrurus balicassius/A/XC190206 - Balicassiao - Dicrurus balicassius.mp3,A,.mp3
Dicrurus balicassius,XC68172 - Balicassiao - Dicrurus balicassius.mp3,Dicrurus balicassius/A/XC68172 - Balicassiao - Dicrurus balicassius.mp3,data/raw/Dicrurus balicassius/A/XC68172 - Balicassiao - Dicrurus balicassius.mp3,A,.mp3
Dicrurus balicassius,XC963940 - Balicassiao - Dicrurus balicassius striatus.wav,Dicrurus balicassius/A/XC963940 - Balicassiao - Dicrurus balicassius striatus.wav,data/raw/Dicrurus balicassius/A/XC963940 - Balicassiao - Dicrurus balicassius striatus.wav,A,.wav
Dicrurus balicassius,XC1008946 - Balicassiao - Dicrurus balicassius striatus.mp3,Dicrurus balicassius/B/XC1008946 - Balicassiao - Dicrurus balicassius striatus.mp3,data/raw/Dicrurus balicassius/B/XC1008946 - Balicassiao - Dicrurus balicassius striatus.mp3,B,.mp3
